Department,Description,Employees,Home
Department of Commerce,"Department of Commerce: 87 percent of the agency's 46,420 employees would be sent home. (The Weather Service would keep running, for instance, but the Census Bureau would close down.)",46420,87
Department of Defense,"Department of Defense: 50 percent of the 800,000 civilian employees would be sent home while all 1.4 million active-duty military members would stay on. (Environmental engineers, for instance, would get furloughed, and the agency could not sign any new defense contracts.)",800000,50
Department of Energy,"Department of Energy: 69 percent of the agency's 13,814 employees would be sent home. (Those in charge of nuclear materials and power grids stay. Those conducting energy research go home.)",13814,69
Environmental Protection Agency,"Environmental Protection Agency: 94 percent of the 16,205 employees will be sent home. (Those protecting toxic Superfund sites stay. Pollution and pesticide regulators get sent home.)",16205,94
Department of Health and Human Services,"Department of Health and Human Services: 52 percent of 78,198 employees would be sent home. (Those running the Suicide Prevention Lifeline would stay, those in charge of investigating Medicare fraud would go home.)",78198,52
Department of Homeland Security,"Department of Homeland Security: 14 percent of the 231,117 employees would go home. (Border Patrol would stay. Operations of E-Verify would cease. The department will also suspend disaster-preparedness grants to states and localities.)",231117,14
Department of Housing and Urban Development,"Department of Housing and Urban Development: 95 percent of the 8,709 employees would go home. (Those in charge of guaranteeing mortgages at Ginnie Mae would stay, as would those in charge of homelessness programs. Almost everything else would come to a halt.)",8709,95
Department of Labor,"Department of Labor: 82 percent of the 16,304 employees would be sent home. (Mine-safety inspectors will stay. Wage and occupational safety regulators will go home. Employees compiling economic data for the Bureau of Labor Statistics will also get furloughed.)",16304,82
NASA,"NASA: 97 percent of the 18,134 employees would be sent home. (Scientists working on the International Space Station will stay. Many engineers will go home.)",18134,97
Department of Interior,"Department of Interior: 81 percent of the 72,562 employees would be sent home. (Wildlife law enforcement officers would stay, while the national parks would close.)",72562,81
Department of Justice,"Department of Justice: 15 percent of the 114,486 employees would go home. (FBI agents, drug enforcement agents, and federal prison employees would stay. Some attorneys would go home.)",114486,15
Social Security Administration,"Social Security Administration: 29 percent of the 62,343 employees would be sent home. (Claims representatives would stay; actuaries would go home.)",62343,29
Department of Treasury,"Department of Treasury: 80 percent of the 112,461 employees will be sent home. (Those sending out Social Security checks would stay; IRS employees overseeing audits would go home.)",112461,80
Department of Transportation,"Department of Transportation: 33 percent of the 55,468 employees will get sent home. (Air-traffic controllers will stay on; most airport inspections will cease.)",55468,33
Department of Veteran Affairs,"Department of Veterans Affairs: 4 percent of the 332,025 employees would go home. (Hospital workers will stay; some workers in charge of processing benefits will go home.)",332025,4
